file_path,filename,device_family,device_id,state,distance_label,probe_id,channel_mode,sample_rate_hz,label_device,label_family,label_state,label_coarse,td_ch1_mean,td_ch1_std,td_ch1_rms,td_ch1_variance,td_ch1_peak_to_peak,td_ch1_energy,td_ch1_skewness,td_ch1_kurtosis,td_ch1_zero_crossing_rate,td_ch1_num_peaks,td_ch1_crest_factor,td_ch1_iqr,fd_ch1_dominant_freq_hz,fd_ch1_dominant_freq_norm,fd_ch1_spectral_centroid_hz,fd_ch1_spectral_centroid_norm,fd_ch1_spectral_spread_hz,fd_ch1_spectral_entropy,fd_ch1_band_energy_abs_low,fd_ch1_band_energy_abs_mid,fd_ch1_band_energy_abs_high,fd_ch1_band_energy_rel_low,fd_ch1_band_energy_rel_high,td_ch2_mean,td_ch2_std,td_ch2_rms,td_ch2_variance,td_ch2_peak_to_peak,td_ch2_energy,td_ch2_skewness,td_ch2_kurtosis,td_ch2_zero_crossing_rate,td_ch2_num_peaks,td_ch2_crest_factor,td_ch2_iqr,fd_ch2_dominant_freq_hz,fd_ch2_dominant_freq_norm,fd_ch2_spectral_centroid_hz,fd_ch2_spectral_centroid_norm,fd_ch2_spectral_spread_hz,fd_ch2_spectral_entropy,fd_ch2_band_energy_abs_low,fd_ch2_band_energy_abs_mid,fd_ch2_band_energy_abs_high,fd_ch2_band_energy_rel_low,fd_ch2_band_energy_rel_high,xc_rms_ratio,xc_energy_ratio,xc_correlation,xc_dom_freq_diff_hz,xc_centroid_diff_hz,primary_channel,td_pri_mean,td_pri_std,td_pri_rms,td_pri_variance,td_pri_peak_to_peak,td_pri_energy,td_pri_skewness,td_pri_kurtosis,td_pri_zero_crossing_rate,td_pri_num_peaks,td_pri_crest_factor,td_pri_iqr,fd_pri_dominant_freq_hz,fd_pri_dominant_freq_norm,fd_pri_spectral_centroid_hz,fd_pri_spectral_centroid_norm,fd_pri_spectral_spread_hz,fd_pri_spectral_entropy,fd_pri_band_energy_abs_low,fd_pri_band_energy_abs_mid,fd_pri_band_energy_abs_high,fd_pri_band_energy_rel_low,fd_pri_band_energy_rel_high
Motor_Data/MOTOR_1_ON/time domain/NewFile1.csv,NewFile1.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.0022183333333333334,0.050859240365498534,0.0509075960278359,0.0025866623305555556,0.51,0.0025915833333333338,1.8699854600222707,12.919104205261393,0.6083333333333333,50.0,5.966510519478805,0.4648277000922686,7116.666666666666,0.7116666666666666,4562.188586304692,0.4562188586304692,2253.423195424362,5.702781792086617,18744.286359313992,67955.3176509628,633300.4729895471,86699.6040102768,390651.607335559,,,,,,ch2,0.0022183333333333334,0.050859240365498534,0.0509075960278359,0.0025866623305555556,0.51,0.0025915833333333338,1.8699854600222707,12.919104205261393,0.6083333333333333,50,5.966510519478805,0.4648277000922686,7116.666666666666,0.7116666666666666,4562.188586304692,0.4562188586304692,2253.423195424362,5.702781792086617,18744.286359313992,67955.3176509628,633300.4729895471,86699.6040102768,390651.607335559
Motor_Data/MOTOR_1_ON/time domain/NewFile10.csv,NewFile10.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.0014316666666666666,0.05026490157710005,0.05028528611830701,0.0025265603305555553,0.51,0.0025286099999999997,0.8042964322956179,9.957448918221907,0.6066666666666667,53.0,5.703685475341563,0.5836401838026948,7333.333333333332,0.7333333333333332,4652.841762995749,0.4652841762995749,2248.3307402826395,5.699900526513728,15184.801557803112,59276.524990492886,645538.7259116881,74461.326548296,404411.635635559,,,,,,ch2,0.0014316666666666666,0.05026490157710005,0.05028528611830701,0.0025265603305555553,0.51,0.0025286099999999997,0.8042964322956179,9.957448918221907,0.6066666666666667,53,5.703685475341563,0.5836401838026948,7333.333333333332,0.7333333333333332,4652.841762995749,0.4652841762995749,2248.3307402826395,5.699900526513728,15184.801557803112,59276.524990492886,645538.7259116881,74461.326548296,404411.635635559
Motor_Data/MOTOR_1_ON/time domain/NewFile11.csv,NewFile11.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.0018516666666666662,0.05510258309633849,0.05513368601257613,0.0030362946638888885,0.51,0.003039723333333333,0.9221090259835679,7.851713967605248,0.5941666666666666,74.0,5.6697873521703785,0.729366067535982,6649.999999999999,0.6649999999999999,4652.603525800178,0.46526035258001786,2313.0709514936357,5.670283166162198,17362.130603122012,64225.50271374019,638415.5100183649,81587.63331686221,394717.32952101063,,,,,,ch2,0.0018516666666666662,0.05510258309633849,0.05513368601257613,0.0030362946638888885,0.51,0.003039723333333333,0.9221090259835679,7.851713967605248,0.5941666666666666,74,5.6697873521703785,0.729366067535982,6649.999999999999,0.6649999999999999,4652.603525800178,0.46526035258001786,2313.0709514936357,5.670283166162198,17362.130603122012,64225.50271374019,638415.5100183649,81587.63331686221,394717.32952101063
Motor_Data/MOTOR_1_ON/time domain/NewFile12.csv,NewFile12.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.0018066666666666667,0.05112431863169969,0.05115623129199414,0.0026136959555555558,0.51,0.00261696,1.260029111470683,10.063915390323961,0.6125,65.0,5.988537231402323,0.6352070752361155,6333.333333333332,0.6333333333333332,4800.034000696222,0.4800034000696222,2257.6755190859876,5.678443168115493,13736.985363600465,51400.176228693585,654864.7496805163,65137.16159229405,418619.4169050182,,,,,,ch2,0.0018066666666666667,0.05112431863169969,0.05115623129199414,0.0026136959555555558,0.51,0.00261696,1.260029111470683,10.063915390323961,0.6125,65,5.988537231402323,0.6352070752361155,6333.333333333332,0.6333333333333332,4800.034000696222,0.4800034000696222,2257.6755190859876,5.678443168115493,13736.985363600465,51400.176228693585,654864.7496805163,65137.16159229405,418619.4169050182
Motor_Data/MOTOR_1_ON/time domain/NewFile13.csv,NewFile13.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.0025683333333333335,0.0496876946257544,0.04975402831262342,0.0024688669972222224,0.51,0.002475463333333333,1.3855994135018006,10.323837436848233,0.595,61.0,6.075504982455056,0.5916296902144496,5816.666666666666,0.5816666666666666,4663.97279211217,0.46639727921121704,2225.223225742909,5.637037628844161,12379.386138097216,55532.372822878984,652088.5526846016,67911.7589609762,408647.00469073566,,,,,,ch2,0.0025683333333333335,0.0496876946257544,0.04975402831262342,0.0024688669972222224,0.51,0.002475463333333333,1.3855994135018006,10.323837436848233,0.595,61,6.075504982455056,0.5916296902144496,5816.666666666666,0.5816666666666666,4663.97279211217,0.46639727921121704,2225.223225742909,5.637037628844161,12379.386138097216,55532.372822878984,652088.5526846016,67911.7589609762,408647.00469073566
Motor_Data/MOTOR_1_ON/time domain/NewFile14.csv,NewFile14.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.0031166666666666665,0.05417662216204411,0.05426619573915238,0.002935106388888889,0.51,0.00294482,1.4474115211830771,9.233604718353051,0.5908333333333333,67.0,5.731894667963212,0.6668699153530768,7283.333333333332,0.7283333333333332,4741.632680021777,0.4741632680021777,2224.868306405741,5.689692688796045,11547.680215697,53892.52742128706,654560.0483073745,65440.207636984065,422935.23023068305,,,,,,ch2,0.0031166666666666665,0.05417662216204411,0.05426619573915238,0.002935106388888889,0.51,0.00294482,1.4474115211830771,9.233604718353051,0.5908333333333333,67,5.731894667963212,0.6668699153530768,7283.333333333332,0.7283333333333332,4741.632680021777,0.4741632680021777,2224.868306405741,5.689692688796045,11547.680215697,53892.52742128706,654560.0483073745,65440.207636984065,422935.23023068305
Motor_Data/MOTOR_1_ON/time domain/NewFile15.csv,NewFile15.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.0010299999999999999,0.051220039372625766,0.05123039462402504,0.0026234924333333335,0.51,0.0026245533333333335,0.8603273904569081,10.228227804682634,0.6116666666666667,57.0,5.977923294631346,0.5868382795255209,6583.333333333332,0.6583333333333332,4633.409150409201,0.4633409150409201,2215.090294418353,5.701092683433156,13883.099036274334,62335.520505112,643781.409439184,76218.61954138633,396346.4797664806,,,,,,ch2,0.0010299999999999999,0.051220039372625766,0.05123039462402504,0.0026234924333333335,0.51,0.0026245533333333335,0.8603273904569081,10.228227804682634,0.6116666666666667,57,5.977923294631346,0.5868382795255209,6583.333333333332,0.6583333333333332,4633.409150409201,0.4633409150409201,2215.090294418353,5.701092683433156,13883.099036274334,62335.520505112,643781.409439184,76218.61954138633,396346.4797664806
Motor_Data/MOTOR_1_ON/time domain/NewFile16.csv,NewFile16.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.0018683333333333334,0.05368618069133082,0.053718680797899966,0.002882205997222222,0.51,0.0028856966666666664,1.0635950552424882,8.259255836319245,0.6191666666666666,63.0,5.658590604106029,0.6697232240087061,6849.999999999999,0.6849999999999999,4743.484418982395,0.47434844189823955,2218.7044981397885,5.636372239410516,10212.650358914016,55449.238179300635,654338.1143449491,65661.88853821465,419699.79082180327,,,,,,ch2,0.0018683333333333334,0.05368618069133082,0.053718680797899966,0.002882205997222222,0.51,0.0028856966666666664,1.0635950552424882,8.259255836319245,0.6191666666666666,63,5.658590604106029,0.6697232240087061,6849.999999999999,0.6849999999999999,4743.484418982395,0.47434844189823955,2218.7044981397885,5.636372239410516,10212.650358914016,55449.238179300635,654338.1143449491,65661.88853821465,419699.79082180327
Motor_Data/MOTOR_1_ON/time domain/NewFile17.csv,NewFile17.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.0024100000000000002,0.052655407129752585,0.052710530257245564,0.0027725918999999995,0.51,0.0027784000000000003,1.5055449370202487,10.918978713835743,0.5925,60.0,7.17306953714619,0.6311687908638435,6583.333333333332,0.6583333333333332,4856.086737133102,0.48560867371331023,2385.9537473143196,5.745584968877223,12020.744916801368,59208.242662849894,648802.1081475993,71228.98757965126,407410.99050957547,,,,,,ch2,0.0024100000000000002,0.052655407129752585,0.052710530257245564,0.0027725918999999995,0.51,0.0027784000000000003,1.5055449370202487,10.918978713835743,0.5925,60,7.17306953714619,0.6311687908638435,6583.333333333332,0.6583333333333332,4856.086737133102,0.48560867371331023,2385.9537473143196,5.745584968877223,12020.744916801368,59208.242662849894,648802.1081475993,71228.98757965126,407410.99050957547
Motor_Data/MOTOR_1_ON/time domain/NewFile18.csv,NewFile18.csv,motor,motor_1,on,unknown,default,single_ch2,20000.0,motor_1,motor,on,motor_on,,,,,,,,,,,,,,,,,,,,,,,,0.0035633333333333333,0.05993904672433674,0.060044872109670334,0.0035926893222222225,0.51,0.0036053866666666662,1.2973688867333877,7.220238033092079,0.5883333333333334,67.0,5.439704432302937,0.7250732837926945,5683.333333333332,0.5683333333333332,4694.41235718103,0.469441235718103,2217.049841416562,5.641263456097865,12008.866508682333,50224.0667067479,657767.2444693042,62232.93321543023,426764.4910046044,,,,,,ch2,0.0035633333333333333,0.05993904672433674,0.060044872109670334,0.0035926893222222225,0.51,0.0036053866666666662,1.2973688867333877,7.220238033092079,0.5883333333333334,67,5.439704432302937,0.7250732837926945,5683.333333333332,0.5683333333333332,4694.41235718103,0.469441235718103,2217.049841416562,5.641263456097865,12008.866508682333,50224.0667067479,657767.2444693042,62232.93321543023,426764.4910046044
