X,CH1,CH2,Start,Increment,
Sequence,Volt,Volt,-3.000000e-02,5.000000e-05
0,-4.40e-02,1.40e-02,
1,3.20e-02,-6.00e-03,
2,2.80e-02,-4.00e-03,
3,-3.20e-02,1.00e-02,
4,3.20e-02,1.00e-02,
5,-4.00e-02,-1.20e-02,
6,-4.40e-02,-1.40e-02,
7,2.80e-02,8.00e-03,
8,-4.00e-02,1.40e-02,
9,3.60e-02,-1.00e-02,
10,-4.00e-02,-8.00e-03,
11,3.60e-02,1.00e-02,
12,3.60e-02,-8.00e-03,
13,-4.00e-02,1.20e-02,
14,4.00e-02,-4.00e-03,
15,-4.80e-02,1.20e-02,
16,-4.40e-02,-4.00e-03,
17,3.60e-02,1.20e-02,
18,3.20e-02,-4.00e-03,
19,-4.40e-02,2.00e-02,
20,4.00e-02,-6.00e-03,
21,-4.80e-02,3.40e-02,
22,-1.48e-01,-2.18e-01,
23,2.64e-01,1.46e-01,
24,3.20e-02,3.00e-02,
25,-4.80e-02,-6.00e-03,
26,2.40e-02,2.00e-02,
27,-4.80e-02,-2.20e-02,
28,8.00e-03,2.60e-02,
29,-4.40e-02,-8.00e-03,
30,-4.40e-02,-6.00e-03,
31,1.20e-02,1.60e-02,
32,1.20e-02,-4.00e-03,
33,-2.00e-02,1.40e-02,
34,1.20e-02,-1.00e-02,
35,-3.60e-02,2.00e-02,
36,1.20e-02,1.20e-02,
37,-4.40e-02,-1.60e-02,
38,-4.40e-02,-1.40e-02,
39,4.80e-02,1.40e-02,
40,-4.40e-02,1.20e-02,
41,3.60e-02,-1.40e-02,
42,4.00e-02,-1.00e-02,
43,-4.80e-02,2.00e-02,
44,3.60e-02,1.60e-02,
45,-4.80e-02,-1.00e-02,
46,-4.80e-02,1.40e-02,
47,3.20e-02,-1.00e-02,
48,-4.40e-02,1.60e-02,
49,4.00e-02,-1.00e-02,
50,4.72e-01,-2.54e-01,
51,-5.24e-01,2.56e-01,
52,2.64e-01,-2.38e-01,
53,-2.76e-01,2.56e-01,
54,-4.80e-02,1.40e-02,
55,3.20e-02,-8.00e-03,
56,-4.80e-02,-1.40e-02,
57,3.20e-02,8.00e-03,
58,2.80e-02,8.00e-03,
59,-4.80e-02,-1.60e-02,
60,-5.20e-02,1.20e-02,
61,2.80e-02,-1.40e-02,
62,-4.40e-02,1.60e-02,
63,3.60e-02,-1.20e-02,
64,3.60e-02,1.60e-02,
65,-4.40e-02,-8.00e-03,
66,-3.20e-02,-4.00e-03,
67,4.80e-02,1.20e-02,
68,8.00e-03,-4.00e-03,
69,-2.00e-02,1.00e-02,
70,-2.00e-02,1.60e-02,
71,2.80e-02,-3.00e-02,
72,2.80e-02,-1.20e-02,
73,-2.40e-02,2.60e-02,
74,8.00e-03,-4.00e-03,
75,-3.60e-02,3.20e-02,
76,3.20e-02,-6.00e-03,
77,-4.40e-02,2.60e-02,
78,3.60e-02,-2.20e-02,
79,-4.00e-02,1.80e-02,
80,1.08e-01,-2.54e-01,
81,-3.08e-01,2.56e-01,
82,2.40e-02,1.20e-02,
83,-3.60e-02,-4.00e-03,
84,2.80e-02,8.00e-03,
85,-3.60e-02,-6.00e-03,
86,3.20e-02,-1.20e-02,
87,-3.20e-02,8.00e-03,
88,5.20e-02,-4.00e-03,
89,-2.40e-02,1.00e-02,
90,3.20e-02,8.00e-03,
91,-3.20e-02,-1.00e-02,
92,4.00e-02,1.00e-02,
93,-4.40e-02,-1.00e-02,
94,-4.40e-02,1.40e-02,
95,3.60e-02,-6.00e-03,
96,-5.20e-02,-8.00e-03,
97,3.60e-02,1.60e-02,
98,3.60e-02,1.40e-02,
99,-4.00e-02,-4.00e-03,
100,-4.00e-02,3.00e-02,
101,3.60e-02,-2.60e-02,
102,3.20e-02,2.80e-02,
103,-4.40e-02,-2.00e-02,
104,3.60e-02,-4.00e-03,
105,-4.40e-02,1.80e-02,
106,-4.40e-02,1.40e-02,
107,3.20e-02,-8.00e-03,
108,1.04e-01,2.56e-01,
109,-1.24e-01,-2.54e-01,
110,1.60e-02,-1.00e-02,
111,-3.60e-02,2.60e-02,
112,8.00e-03,1.20e-02,
113,-4.00e-02,-4.00e-03,
114,8.00e-03,-4.00e-03,
115,-3.60e-02,1.60e-02,
116,8.00e-03,1.80e-02,
117,-4.00e-02,-1.20e-02,
118,-4.80e-02,1.00e-02,
119,4.40e-02,-1.20e-02,
120,-4.40e-02,1.40e-02,
121,3.60e-02,-8.00e-03,
122,3.20e-02,1.60e-02,
123,-3.60e-02,-2.40e-02,
124,-4.00e-02,-2.20e-02,
125,3.60e-02,2.20e-02,
126,-2.40e-02,-4.00e-03,
127,4.40e-02,1.00e-02,
128,-2.80e-02,3.40e-02,
129,3.60e-02,-6.00e-03,
130,-2.40e-02,2.20e-02,
131,4.40e-02,-1.20e-02,
132,2.80e-02,8.00e-03,
133,-2.40e-02,-2.20e-02,
134,3.20e-02,-4.00e-03,
135,-3.20e-02,8.00e-03,
136,3.60e-02,-8.00e-03,
137,-4.40e-02,1.00e-02,
138,-1.92e-01,-9.80e-02,
139,2.80e-01,9.00e-02,
140,5.20e-02,1.60e-02,
141,-2.80e-02,-6.00e-03,
142,4.40e-02,1.00e-02,
143,-2.80e-02,-4.00e-03,
144,2.00e-02,-4.00e-03,
145,-2.00e-02,1.20e-02,
146,1.20e-02,2.00e-02,
147,-3.20e-02,-8.00e-03,
148,1.20e-02,2.00e-02,
149,-4.40e-02,-1.20e-02,
150,3.60e-02,1.60e-02,
151,-3.60e-02,-1.00e-02,
152,-4.00e-02,-2.80e-02,
153,4.00e-02,2.80e-02,
154,3.60e-02,2.00e-02,
155,-3.20e-02,-2.20e-02,
156,1.20e-02,1.80e-02,
157,-3.60e-02,-4.00e-03,
158,-2.80e-02,1.20e-02,
159,1.20e-02,-6.00e-03,
160,-2.40e-02,1.80e-02,
161,3.20e-02,-6.00e-03,
162,3.20e-02,-1.00e-02,
163,-3.20e-02,2.20e-02,
164,-5.20e-02,-8.00e-03,
165,3.20e-02,2.40e-02,
166,4.72e-01,-2.54e-01,
167,-4.32e-01,2.26e-01,
168,-4.00e-02,8.00e-03,
169,3.60e-02,-1.40e-02,
170,-3.60e-02,8.00e-03,
171,5.20e-02,-8.00e-03,
172,2.80e-02,1.00e-02,
173,-3.60e-02,-1.00e-02,
174,-4.00e-02,-8.00e-03,
175,3.60e-02,1.40e-02,
176,-4.40e-02,1.40e-02,
177,3.60e-02,-4.00e-03,
178,4.00e-02,8.00e-03,
179,-3.20e-02,-4.00e-03,
180,4.40e-02,-4.00e-03,
181,-2.40e-02,2.80e-02,
182,4.40e-02,2.60e-02,
183,-3.60e-02,-4.00e-03,
184,3.20e-02,-2.60e-02,
185,-4.00e-02,2.40e-02,
186,-2.80e-02,2.00e-02,
187,2.80e-02,-8.00e-03,
188,1.60e-02,1.20e-02,
189,-3.20e-02,-8.00e-03,
190,-2.80e-02,1.20e-02,
191,1.20e-02,-1.40e-02,
192,2.40e-02,-8.00e-03,
193,-2.00e-02,1.60e-02,
194,-3.20e-02,1.00e-02,
195,1.60e-02,-6.00e-03,
196,3.40e-01,2.56e-01,
197,-3.20e-02,-1.20e-01,
198,1.20e-02,-4.00e-03,
199,-3.60e-02,1.40e-02,
200,-2.80e-02,1.80e-02,
201,3.20e-02,-4.00e-03,
202,4.00e-02,1.20e-02,
203,-3.20e-02,-6.00e-03,
204,3.20e-02,1.80e-02,
205,-5.60e-02,-6.00e-03,
206,4.40e-02,1.20e-02,
207,-4.80e-02,-1.40e-02,
208,4.00e-02,-4.00e-03,
209,-4.00e-02,1.00e-02,
210,2.80e-02,8.00e-03,
211,-2.80e-02,-6.00e-03,
212,2.80e-02,-1.00e-02,
213,-4.00e-02,8.00e-03,
214,3.20e-02,8.00e-03,
215,-4.40e-02,-1.20e-02,
216,2.80e-02,1.40e-02,
217,-4.00e-02,-1.20e-02,
218,-4.00e-02,8.00e-03,
219,2.40e-02,-1.40e-02,
220,-2.40e-02,-8.00e-03,
221,3.20e-02,1.80e-02,
222,5.20e-02,-4.00e-03,
223,-3.20e-02,1.20e-02,
224,4.48e-01,2.56e-01,
225,-4.00e-01,-2.54e-01,
226,8.40e-02,1.86e-01,
227,-5.20e-02,-1.38e-01,
228,-1.20e-02,-3.00e-02,
229,3.60e-02,1.80e-02,
230,1.20e-02,-6.00e-03,
231,-2.40e-02,3.20e-02,
232,-2.40e-02,-4.00e-03,
233,1.20e-02,2.20e-02,
234,3.20e-02,-6.00e-03,
235,-3.20e-02,2.00e-02,
236,1.20e-02,-2.00e-02,
237,-4.80e-02,1.80e-02,
238,-1.20e-02,2.60e-02,
239,3.60e-02,-1.40e-02,
240,-4.80e-02,-1.20e-02,
241,3.60e-02,1.40e-02,
242,-4.00e-02,1.40e-02,
243,4.00e-02,-1.00e-02,
244,-4.80e-02,1.80e-02,
245,4.40e-02,-1.60e-02,
246,4.40e-02,1.20e-02,
247,-4.80e-02,-1.40e-02,
248,-4.40e-02,8.00e-03,
249,4.40e-02,-1.40e-02,
250,-2.80e-02,8.00e-03,
251,3.60e-02,-1.00e-02,
252,3.20e-02,8.00e-03,
253,-3.20e-02,-4.00e-03,
254,-1.40e-01,1.94e-01,
255,4.72e-01,-2.12e-01,
256,-3.20e-02,-4.00e-03,
257,3.20e-02,3.00e-02,
258,-4.00e-02,2.40e-02,
259,4.00e-02,-8.00e-03,
260,-4.80e-02,-2.40e-02,
261,4.00e-02,2.60e-02,
262,-4.00e-02,-6.00e-03,
263,3.20e-02,1.80e-02,
264,3.20e-02,-6.00e-03,
265,-4.00e-02,1.60e-02,
266,1.20e-02,2.40e-02,
267,-3.60e-02,-1.40e-02,
268,1.20e-02,1.00e-02,
269,-4.40e-02,-1.20e-02,
270,-1.20e-02,1.00e-02,
271,3.20e-02,-1.20e-02,
272,-1.20e-02,-1.20e-02,
273,3.20e-02,2.00e-02,
274,-4.80e-02,1.20e-02,
275,1.20e-02,-1.00e-02,
