X,CH1,Start,Increment,
Sequence,Volt,-1.500000e-01,2.000000e-04
0,-4.00e-02,
1,1.72e-01,
2,1.52e-01,
3,-4.00e-02,
4,-4.00e-02,
5,1.68e-01,
6,1.76e-01,
7,-4.40e-02,
8,-4.00e-02,
9,1.64e-01,
10,-4.00e-02,
11,1.72e-01,
12,-4.00e-02,
13,1.76e-01,
14,1.72e-01,
15,-5.20e-02,
16,-5.20e-02,
17,1.64e-01,
18,1.68e-01,
19,-6.40e-02,
20,-6.40e-02,
21,1.76e-01,
22,1.56e-01,
23,-4.00e-02,
24,1.60e-01,
25,-4.00e-02,
26,-3.60e-02,
27,1.56e-01,
28,1.44e-01,
29,-3.60e-02,
30,-3.20e-02,
31,1.24e-01,
32,-3.20e-02,
33,1.24e-01,
34,-3.20e-02,
35,1.12e-01,
36,-3.60e-02,
37,1.48e-01,
38,1.60e-01,
39,-3.60e-02,
40,1.44e-01,
41,-3.60e-02,
42,-3.20e-02,
43,1.52e-01,
44,1.52e-01,
45,-3.20e-02,
46,-3.20e-02,
47,1.48e-01,
48,1.32e-01,
49,-3.60e-02,
50,-3.20e-02,
51,1.48e-01,
52,1.32e-01,
53,-3.60e-02,
54,-3.60e-02,
55,1.56e-01,
56,-5.60e-02,
57,1.56e-01,
58,1.56e-01,
59,-5.20e-02,
60,1.56e-01,
61,-6.40e-02,
62,-6.80e-02,
63,1.40e-01,
64,-3.20e-02,
65,1.60e-01,
66,1.64e-01,
67,-3.60e-02,
68,-3.20e-02,
69,3.20e-02,
70,-3.60e-02,
71,8.80e-02,
72,-3.20e-02,
73,8.40e-02,
74,-3.20e-02,
75,1.32e-01,
76,1.32e-01,
77,-3.60e-02,
78,-3.20e-02,
79,9.20e-02,
80,-4.00e-02,
81,1.68e-01,
82,1.44e-01,
83,-4.40e-02,
84,-4.80e-02,
85,1.24e-01,
86,-4.00e-02,
87,1.76e-01,
88,-4.40e-02,
89,1.68e-01,
90,1.72e-01,
91,-4.00e-02,
92,-3.60e-02,
93,1.52e-01,
94,-3.60e-02,
95,1.76e-01,
96,-4.00e-02,
97,1.52e-01,
98,-4.80e-02,
99,1.72e-01,
100,-5.60e-02,
101,1.64e-01,
102,1.72e-01,
103,-6.00e-02,
104,1.76e-01,
105,-5.20e-02,
106,-4.00e-02,
107,1.52e-01,
108,-3.60e-02,
109,1.20e-01,
110,-3.60e-02,
111,9.20e-02,
112,-3.60e-02,
113,1.48e-01,
114,-3.20e-02,
115,1.36e-01,
116,-3.20e-02,
117,1.28e-01,
118,-3.20e-02,
119,1.24e-01,
120,1.48e-01,
121,-3.60e-02,
122,-3.20e-02,
123,1.56e-01,
124,1.52e-01,
125,-3.60e-02,
126,-3.20e-02,
127,1.28e-01,
128,-3.60e-02,
129,1.56e-01,
130,-4.40e-02,
131,1.56e-01,
132,-4.40e-02,
133,1.44e-01,
134,-3.60e-02,
135,1.56e-01,
136,-3.60e-02,
137,1.56e-01,
138,-3.20e-02,
139,1.16e-01,
140,-5.20e-02,
141,1.68e-01,
142,1.72e-01,
143,-7.60e-02,
144,-6.40e-02,
145,1.68e-01,
146,-3.60e-02,
147,1.56e-01,
148,-3.20e-02,
149,1.32e-01,
150,-3.20e-02,
151,1.48e-01,
152,-3.20e-02,
153,1.04e-01,
154,8.80e-02,
155,-3.60e-02,
156,7.20e-02,
157,-3.20e-02,
158,-3.60e-02,
159,1.52e-01,
160,-4.00e-02,
161,1.60e-01,
162,-4.40e-02,
163,1.64e-01,
164,1.72e-01,
165,-4.40e-02,
166,-4.00e-02,
167,1.68e-01,
168,-4.00e-02,
169,1.72e-01,
170,-4.00e-02,
171,1.60e-01,
172,-4.00e-02,
173,1.72e-01,
174,-4.00e-02,
175,1.64e-01,
176,1.72e-01,
177,-4.00e-02,
178,-3.60e-02,
179,1.60e-01,
180,-5.60e-02,
181,1.64e-01,
182,1.64e-01,
183,-6.40e-02,
184,-6.00e-02,
185,1.64e-01,
186,-6.40e-02,
187,1.72e-01,
188,-4.00e-02,
189,1.48e-01,
190,-3.60e-02,
191,1.08e-01,
192,-3.60e-02,
193,8.80e-02,
194,-3.20e-02,
